1	-0.071
2	0.552
3	0.353
4	0.265
5	0.678
6	0.32
7	0.266
8	0.777
9	2.289
10	-1.778
11	-0.972
12	0.342
13	0.808
14	-0.257
15	-1.461
16	0.259
17	1.29
18	-0.251
19	-0.912
20	2.218
21	-0.817
22	2.229
23	1.211
24	0.275
25	0.467
26	-0.682
27	0.493
28	-0.241
29	1.297
30	0.05
31	-0.735
32	-0.156
33	1.749
34	-0.082
35	1.331
36	0.406
37	0.529
38	0.41
39	-0.362
40	-0.076
41	0.138
42	0.055
43	0.601
44	0.55
45	-1.221
46	0.091
47	1.112
48	-0.827
49	0.102
50	0.582
51	0.291
52	1.706
53	1.499
54	1.074
55	0.835
56	-0.045
57	2.669
58	2.553
59	3.803
60	1.071
61	1.938
62	1.876
63	3.672
64	2.752
65	1.135
66	0.934
67	3.82
68	1.355
69	1.362
70	-0.916
71	1.622
72	0.305
73	1.584
74	3.742
75	0.849
76	-1.003
77	0.586
78	0.949
79	1.927
80	1.025
81	-0.088
82	-0.461
83	0.473
84	1.289
85	-0.998
86	0.731
87	-0.111
88	0.43
89	1.669
90	-1.04
91	1.92
92	-0.141
93	0.539
94	0.831
95	0.181
96	0.055
97	0.644
98	0.481
99	-0.188
100	-0.19
