1	-0.05817
2	0.22489
3	-0.06386
4	0.27894
5	-0.115
6	-0.16858
7	-0.05947
8	0.19003
9	0.15131
10	-0.15189
11	0.09408
12	0.22697
13	0.13194
14	0.34536
15	0.11239
16	-0.0475
17	-0.03722
18	0.17475
19	-0.13094
20	-0.02272
21	0.05794
22	0.04794
23	-0.25617
24	0.17764
25	-0.35756
26	0.05606
27	-0.18228
28	-0.04817
29	0.11975
30	-0.36728
31	-0.10842
32	-0.01592
33	-0.00292
34	-0.22553
35	-0.05561
36	-0.22811
37	5E-4
38	-0.02211
39	-0.22011
40	-0.10656
41	-0.05103
42	0.01497
43	-0.07411
44	0.16658
45	-0.42886
46	0.34786
47	0.18125
48	-0.07319
49	0.03467
50	-0.12892
51	1.70636
52	2.3615
53	1.83511
54	1.88314
55	2.19131
56	2.21697
57	1.98347
58	1.92744
59	1.87511
60	1.96914
61	2.03125
62	2.0605
63	1.89789
64	2.12664
65	2.38925
66	1.79467
67	1.58989
68	2.05436
69	2.21417
70	2.25872
71	2.06706
72	1.50533
73	1.96144
74	2.11539
75	1.78397
76	0.06369
77	-0.127
78	0.00644
79	-0.10772
80	0.14611
81	-0.10975
82	-0.11161
83	0.17633
84	-0.039
85	0.32883
86	0.05614
87	-0.12172
88	0.14708
89	0.11378
90	-0.07289
91	-0.05503
92	0.18439
93	-0.21164
94	0.07
95	-0.40256
96	0.04608
97	-0.23586
98	0.04975
99	0.078
100	0.15036
